Relative_Timestamp,UTC_Timestamp,Ticks,Subject_ID,Test_Name,Condition,Wave,Trial,TargetName,Outcome,ReactionTime_ms,RT_s, Gaze_Precision, Locked_On_Target_Status, Gaze_Hit_Location_x, Gaze_Hit_Location_y,Gaze_Hit_Location_z, Reticle_Aim_Direction_x,Reticle_Aim_Direction_y, Reticle_Aim_Direction_z, Target_Distance_From_Camera
892.416,2025-10-08T00:19:16.8729750Z,638954795568729820,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,72,Target_Up,Hit,804,0.80,0.933,True,0.292,5.031,9.500,0.083,2.201,2.818,10.845
893.798,2025-10-08T00:19:18.2554740Z,638954795582554820,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,73,Target_Down,Hit,871,0.87,0.831,True,0.135,-1.874,9.500,0.035,0.142,2.893,10.627
895.168,2025-10-08T00:19:19.6249820Z,638954795596249920,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,73,Target_Right,Incorrect,847,0.85,0.000,False,4.019,1.159,9.500,-1.021,1.252,2.858,10.724
895.800,2025-10-08T00:19:20.2571820Z,638954795602572100,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,74,Target_Right,Hit,107,0.11,0.500,True,4.551,2.944,9.500,1.281,1.578,2.694,10.740
897.145,2025-10-08T00:19:21.6027520Z,638954795616027640,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,75,Target_Up,Hit,822,0.82,0.000,False,-0.220,2.361,10.135,-0.036,1.322,3.040,10.843
898.505,2025-10-08T00:19:22.9619360Z,638954795629619450,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,76,Target_Right,Hit,834,0.83,0.356,True,5.962,1.950,9.500,1.584,1.285,2.562,10.744
899.643,2025-10-08T00:19:24.1004590Z,638954795641004650,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,77,Target_Left,Hit,625,0.63,0.497,True,-4.159,3.039,9.500,-1.201,1.605,2.732,10.735
901.281,2025-10-08T00:19:25.7381680Z,638954795657381780,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,78,Target_Left,Hit,1114,1.11,0.231,True,-4.521,-0.952,9.500,-1.270,0.469,2.685,10.744
902.817,2025-10-08T00:19:27.2741150Z,638954795672741280,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,79,Target_Down,Hit,1011,1.01,0.742,True,0.192,-1.627,9.500,0.053,0.218,2.917,10.626
904.044,2025-10-08T00:19:28.5015860Z,638954795685015970,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,80,Target_Down,Hit,700,0.70,0.690,True,-1.045,-2.106,9.500,-0.317,0.090,2.857,10.628
905.414,2025-10-08T00:19:29.8715570Z,638954795698715690,STEVEN100725C,Simple Disorientation Tasks,Inversion_XYZ, 5,81,Target_Up,Hit,861,0.86,0.987,True,0.174,5.314,9.500,0.046,2.278,2.784,10.846
